Protein IDs,lab2,lab3,non2,non3
B7ZCB8,4.4815972219999995,4.530968906,2.469212587,2.847996798
Q9JJZ2,34.69722222,37.73899261,27.23033614,26.97801738
P24668,44.21875,41.90652604,31.57425003,34.27117776
G3X9N3,27.428125,25.16836221,19.59941732,20.86569468
B1AZ85,33.25486111,36.429275399999995,27.42126747,27.41815053
Q8BUV3,184.38541669999998,193.504081,148.95358090000002,150.9079732
E9PUC2,50.81944444,53.6580301,40.12408242,42.71738428
Q60648,16.82916667,18.06945156,13.2887298,14.37184268
A2ARF6,114.9236111,106.61363590000002,90.04086061,90.05661978
A0A1Y7VIQ5,37.23263889,36.69475861,28.86727817,30.82442467
Q9R0X4,50.57291667,48.17580163,38.54867276,41.56947352
E0CXI9,22.48541667,22.56386122,18.43844627,19.02601665
Q9QYP6,107.1215278,111.1545051,91.20816589,90.80276178
Q920G9,57.83680556,58.765816599999994,49.04039437,48.56568751
D3YU17,9.359722222,8.944019016,7.472111015,7.934479991
Q6ZWZ6,193.94097219999998,190.3072205,163.7756431,161.9913537
G3UYF9,41.76041667,42.24114553,36.505436100000004,34.81794577
A0A1D5RL90,20.96631944,21.737544699999997,18.09096936,18.01162604
Q8K4T5,64.45486111,65.26462456,55.30674238,54.80065541
Q0VE82,138.38541669999998,132.3821008,114.98409290000001,116.14742290000001
O54983,487.77777779999997,465.08788250000003,418.759452,402.64480239999995
Q9D1K2,247.97916669999998,239.78665530000004,210.44975580000002,210.1552724
Q99KK7,20.13993056,20.14519848,17.82628968,16.99632918
Q60597,461.7013888999999,478.96491169999996,389.31892739999995,412.13017030000003
D3Z6Z0,123.1423611,127.60893370000001,107.69974609999998,107.38403059999999
Q9EQE2,134.27083330000002,139.32338069999997,114.9569462,119.98990320000001
A0A1D5RLS1,146.125,143.20607280000002,128.5528854,123.96529939999999
A0A0G2JFF1,233.2881944,234.42168199999998,200.6407721,205.7962323
P84104,197.21875,198.9630796,168.54892619999998,175.5548255
Q9WV54,73.18055556,71.27671328,63.41453709,63.38581956
Q9JI91,76.36111111,76.31536353,67.17887034,66.87788492
Q62465,55.86805556,54.83002789,48.00882227,49.18495515
P60764,221.9444444,225.98705890000002,197.0212209,195.954408
F7BX42,371.6666667,386.81458039999995,324.70088960000004,336.9722238
Q9CR26,98.23611111,102.08382840000002,86.65658024,88.89662578
A0A0A6YY72,43.56944444,43.93194177,38.82873553,38.42178139
Q8BGN8,297.4861111,293.165375,269.9642266,255.82097480000002
P23242,116.03819440000001,111.2817158,101.8722686,100.41198320000001
Q920P5,105.1875,102.7420056,92.85958612,91.7452569
Q9CZY3,189.53472219999998,188.4930851,172.37207709999998,164.2328005
Q8BUK6,47.20486111,47.49771325,41.25247751,42.40019841
P56942,23.48472222,24.26848472,21.0770991,21.1272975
D3YZP9,66.82986111,65.26462456,57.91281925,59.52521443
P27659,228.5277778,234.03451890000002,209.739419,202.22260490000002
E9Q4T8,66.65277778,64.67834912,57.2341534,59.56448506
P47911,250.9444444,251.15818650000003,228.9773335,219.77959790000003
P61222,24.29166667,25.08761107,21.73450009,22.02659496
B1ARW4,68.64930556,65.81771459,60.41483402,60.01760773
P46664,163.48611110000002,167.5973435,146.27511289999998,147.6908023
O35737,54.31597222,55.93952652,50.06744202,48.26964737
Q8VHL1,135.2569444,133.0624015,122.5806259,118.2408497
Q7TMM9,2573.368056,2485.7525600000004,2237.2898440000004,2293.10278
P52480,114.5,115.2971494,102.9807562,102.98269909999999
Q9JHG6,62.06944444,62.9969554,55.95373716,56.18721078
A2RTH5,116.4409722,115.76174509999998,105.7225662,103.5717585
P61971,22.54479167,23.18166279,20.91738641,20.22951046
P34914,80.15972222,83.25664352,73.85694231,72.87420822
Q8R1Q8,128.5104167,129.2847965,117.9068804,114.98440819999999
P10711,51.96527778,51.77752396,46.76007711,46.89215446
E9QMK3,343.78472220000003,337.3628,305.49917039999997,309.9963209
E9QN08,111.83680559999999,111.3093703,102.3156636,99.88334004
A0A1Y7VKP8,33.07222222,32.99569243,29.01839444,30.51025961
P62259,1643.4375,1608.164596,1444.291419,1496.4527130000001
Q8BFR5,509.8611111000001,509.93795379999995,452.29911830000003,468.1965483
Q9EQQ9,18.72743056,19.42562834,17.33538804,17.12501602
Q6P4T2,37.46527778,37.94584828,33.55685921,34.57325953
P70404,40.30208333,40.85233644,36.25613952,37.11980893
O09118,10.88819444,11.06511931,9.988603989,9.965073708
P42125,186.48958330000002,188.5096779,167.680234,172.6518196
P47791,105.58680559999999,105.8724952,96.47461288,96.33992075
P62331,52.92708333,54.27306622,49.22137193,48.53245851
Q9EP69,20.346875,19.82661862,18.20950966,18.52909213
Q8BH58,71.85416667,74.08641068,65.8305875,66.82048938
E9Q8N8,246.1909722,249.6040036,226.73321180000002,225.745713
P70670,234.85416669999998,229.48258790000003,215.76597169999997,211.45120319999995
P24527,91.00347222,93.53858733,83.17728665,85.22633214
Q8BJY1,148.3993056,151.6738813,135.217384,139.22042919999998
Q6P9K8,289.22569439999995,285.76503030000003,270.25379060000006,261.1134476
F6SH61,31.16666667,31.14615935,28.74014144,28.68175861
A0A1W2P799,182.16666669999998,176.78416909999999,166.4495865,165.5710227
Q9CPQ1,306.99305560000005,308.1596459,280.85455110000004,285.062491
Q91VD9,1023.6111109999999,999.8208627999999,942.8930884,931.7712449999999
P80315,192.8055556,196.6345705,178.6836696,179.8383452
P97384,100.2152778,99.20776023,92.19449358,92.23160858
Q9CQJ8,204.39583330000002,206.4242643,186.5154735,191.8038044
Q9DCR2,139.6180556,137.3930965,126.9964784,129.2396472
P61161,522.5694444000001,529.7607008,495.10936019999997,479.97773770000003
O55042,1074.756944,1057.5081539999999,993.2500945,987.7772067
P00761,80.04166667,78.80979959999999,74.30033732,73.52368404
P58389,318.97222220000003,310.3996605,291.54127610000006,294.17327739999996
E9Q7A8,93.5625,93.97552847,86.53442039,87.3892377
Q9CR00,95.68055556,94.41246959,89.46625686,87.71850682
P59999,248.25,251.3849534,231.3662374,232.1256801
Q8BFQ8,109.17708329999999,107.8968047,99.46074262,102.2969734
Q9QXL2,331.43055560000005,335.2444652,314.4485107,307.3077932
Q6P5F9,106.30555559999999,107.2939366,98.47893936,100.5992738
Q3UND0,41.89583333,40.90211454,44.43270569,44.79872774
Q80T41,47.02430556,46.10116091,51.19855177,49.90995143
P46096,409.0625,403.8608152,434.9433704,443.2143852
Q8VBY2,24.71111111,24.38186817,27.00456665,26.322802000000003
P34884,94.53125,91.23773278,101.53746009999999,100.62646120000001
D3Z0S6,62.04166667,60.73481714,67.82134067,66.87788492
F7APP3,33.73159722,33.91492807,37.74332262,36.49449965
Q6ZWN5,85.17013889,88.46675167,96.07193782,94.17701523
G3UWN9,48.83680556,49.96283555,55.56915984,53.60743239
Q61282,79.13194444,77.288802,88.90522643,86.74580348
E9PY16,85.37152778,83.68252284,96.23934206,94.42170147
P54227,905.3125,859.5572291000001,992.0737405,1006.325028
Q9CZC8,12.35659722,12.75868101,14.07869685,14.27698901
P29595,178.82638889999998,180.1027092,199.6046756,209.714233
E9Q0I8,30.44930556,31.73796569,35.50915464,35.8238781
Q8CCN5,14.54409722,13.49982166,16.38661318,16.54652941
Q5U458,92.05902778,98.46661958,112.55446909999999,110.48036880000001
Q9ER00,38.11111111,39.16375254,45.93210477,45.90736786
F6V035,46.49305556,48.40090929,55.97635935,56.97866504
D3YUW2,97.39236111,91.87378631,119.88858470000001,111.8216119
E9Q7F8,61.94444444,66.35974283,78.04657282,77.04897839
F6X7Q6,33.515625,34.80816849,40.02454476,43.17352777
Q5I012,42.76736111,41.88219009,53.858921900000006,52.51389635
Q8R404,71.02777778,66.40399004,89.06358179,85.17195742
A0A0A0MQP0,34.721875,33.1422613,47.30300978,43.96498202
